Comentario,Relacion_Video,Emocion,Emocion_Dominante
intensamente fumado🍷🗿,No,Neutro,Neutro
6:07,No,Neutro,Neutro
Buen video ahora yo y mi hermanito tenemos retraso mental,Sí,Ira,Neutro
ANSIEDAD❌,Sí,Asco,Neutro
El vicio intenso 2,Sí,Neutral,Neutro
El vicio intenso 2,Sí,Neutro,Neutro
Intensamente 😂😢😮😊😅😮,Sí,Sorpresa,Neutro
porque desagrado es el unico disfraz bueno?,Sí,Sorpresa,Neutro
4:25 Yo soy Vergüenza,Sí,Vergüenza,Neutro
ena mente de raylie hay calle?,No,Neutro,Neutro
1:53 Les presento a Furia,Sí,Sorpresa,Neutro
Vistannse de la película de barbie,No,Neutro,Neutro
2:37,Sí,Neutro,Neutro
Dan grin,Sí,Alegría,Neutro
Vicio intenso 2🗿🍷,Sí,Asco,Neutro
𝐶𝑜𝑚𝑜 𝑞𝑢𝑒 𝑙𝑎 𝑚𝑖𝑒𝑒𝑑𝑎 𝑎𝑧𝑢𝑙. 𝑆𝑒 𝑙𝑙𝑎𝑚𝑎 𝑝𝑟𝑖𝑛𝑠𝑒𝑠𝑎🤡,Sí,Sorpresa,Neutro
"Fumadamente 2, donde le entran a la mariguana",No,Neutro,Neutro
O mejor dicho traumas 2,Sí,Neutro,Neutro
q memo aónte me page mi terapia plis,No,Neutro,Neutro
Chamba para el the kaseneru,No,Neutro,Neutro
Uno de monters univers,No,Neutro,Neutro
2:05,Sí,Neutro,Neutro
8:26 como Intesamente 2 debio haber terminado,Sí,Ira,Neutro
Está muy raro ese personaje pero me gusta de alegría,Sí,Alegría,Neutro
Osea de monters inc,No,Neutro,Neutro
4:01,No,Neutro,Neutro
Disfrázate de 101 dálmatas,No,Neutro,Neutro
intensamente 2 ✖️,No,Asco,Neutro
Drogada mente 2,No,Asco,Neutro
😂😂😂😂😂 0:04 0:04 0:04 0:04 0:04jajajajaja,Sí,Alegría,Neutro
Sabías qué ansiedad y temor son novios,Sí,Ira,Neutro
donde compro los enanos?,No,Neutro,Neutro
2YOOOOOOOOOOO 1:34,Sí,Alegría,Neutro
Omg,Sí,Alegría,Neutro
Es la mente de Memo,Sí,Neutro,Neutro
Le doy también un cero,Sí,Ira,Neutro
Visio inteso 2,No,Neutro,Neutro
Intensamente 2,Sí,Sorpresa,Neutro
Tus disfraces,No,Neutro,Neutro
Los quiero😊😂😂,Sí,Alegría,Neutro
😮,Sí,Sorpresa,Neutro
Hola buenas tardes Yolanda,No,Neutro,Neutro
Xd... Mejor dicho intensamente lata 2,Sí,Alegría,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
Donde compras los enanos?,No,Neutro,Neutro
Quize decir intensamente latam 2,Sí,Neutro,Neutro
Pq quiero unos enanos para mi 🤑,No,Asco,Neutro
Y Rayli,No,Neutro,Neutro
4:27 el poto xd,Sí,Alegría,Neutro
Hola 😂 jajaja ❤,Sí,Alegría,Neutro
🎉,Sí,Alegría,Neutro
Que crigech es del tianguis,No,Asco,Neutro
todos de temu,No,Neutro,Neutro
Envidia 💚 +💙 = ?,No,Neutro,Neutro
Toy triste,Sí,Tristeza,Neutro
me dio risa anticuado tu peinado,Sí,Sorpresa,Neutro
Aquí los que vieron un caballo sospechoso entrando a web😂,No,Sorpresa,Neutro
Como es que se prestan para hacer eso 😢,Sí,Tristeza,Neutro
saquenlo del sistema solar,No,Ira,Neutro
7:12,Sí,Neutro,Neutro
❤😂rara,Sí,Alegría,Neutro
"❌Intensamente 2
✔️Kricosamente 2",Sí,Sorpresa,Neutro
La mejor parte es 2:25,Sí,Sorpresa,Neutro
2:19,Sí,Neutro,Neutro
Vicio intenso 2 🤑,Sí,Sorpresa,Neutro
Vicio intenso 2,Sí,Sorpresa,Neutro
"Drogadamente 2
 
Raramente 2

Dudosadrogamente 2",No,Neutro,Neutro
Sal de mi mente 2🤣,Sí,Alegría,Neutro
Yo si me rei 😅,Sí,Alegría,Neutro
Las emociones son del  tianguis,No,Neutro,Neutro
"Intensamente 2❌
Drogamente 2✅",Sí,Ira,Neutro
2:31,No,Neutro,Neutro
"Legalisenla 

4:54 la rosa de Guadalupe xd

Legalisenlax2",No,Sorpresa,Neutro
Me llamo te encontró un chico que estaba grabando en tiktok,No,Neutro,Neutro
Intensadroga 2,Sí,Sorpresa,Neutro
Insanamente 2,Sí,Sorpresa,Neutro
Insanamente 2,Sí,Asco,Neutro
Me traume,Sí,Miedo,Neutro
Literal es un intensamente enanos 😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
3:48 Soy Envidia,Sí,Ira,Neutro
intensacogida 2:,Sí,Sorpresa,Neutro
Riley en su etapa dr0g4d1ct4,No,Neutro,Neutro
Me dio cancer en el cancer,No,Sorpresa,Neutro
Secuestrando personas 2 xd,No,Asco,Neutro
😂😂🎉 ah ya,Sí,Alegría,Neutro
Cricosamente 2,No,Neutro,Neutro
Blanca nieves aplaudiendo* :),Sí,Alegría,Neutro
Jajaja,Sí,Alegría,Neutro
"intensamente2✖

viciointenso2✔",No,Neutro,Neutro
porque furia sale del baño?😭😭😭😭,Sí,Ira,Neutro
de donde sacas tantos enanos? y donde los puedo comprar?,No,Ira,Neutro
Intensamente dogros 2,No,Neutro,Neutro
😅😅😅😅😅😅😅🤣🤣🤣🤣❤❤,Sí,Sorpresa,Neutro
Intensadroga😂😂😂,Sí,Alegría,Neutro
Cricosamente 2,No,Neutro,Neutro
Intenso vicio 2,Sí,Asco,Neutro
ansiedad párese una sanaoria,No,Neutro,Neutro
Como olvidar cuando Riley se metio algo en el cerebro,No,Tristeza,Neutro
😂😂😂❤❤❤❤❤❤🎉🎉🎉,Sí,Alegría,Neutro
vicio intenso 2,Sí,Sorpresa,Neutro
Drogaenmimente XD,Sí,Alegría,Neutro
🐼,No,Neutro,Neutro
vicio intenso 2,Sí,Neutro,Neutro
Enanamente 2,No,Neutro,Neutro
Que asthetic los enanes entrando 👁👄👁🥵,No,Asco,Neutro
3:59 𝓯𝓻𝓮𝓪𝓴𝔂 🫦,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Enanamente 2,No,Neutro,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Asco,Neutro
"Intensamente: ❌️

Intensadroga:✅️",Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
DrogaMente 2,No,Asco,Neutro
vicio intenso 2,Sí,Sorpresa,Neutro
Viciointenso 2,Sí,Sorpresa,Neutro
Y también quiero llevar gorilas al estreno de intensamente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Miedo,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Miedo,Neutro
😢 nuevo trauma,Sí,Tristeza,Neutro
intensomenso 2,Sí,Neutro,Neutro
"Enuui viendo karol g, flor",No,Neutro,Neutro
Lamentablemente 2,No,Tristeza,Neutro
me chaketie con el video,Sí,Alegría,Neutro
Desagrado  la unica decente😢,Sí,Asco,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
vicio en mi mente 2,Sí,Sorpresa,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
6:02 mis sueños con fiebre 🥵,Sí,Asco,Neutro
Intensadroga 2,Sí,Sorpresa,Neutro
0:10,Sí,Neutro,Neutro
Drogadamente 2 ☠️,No,Asco,Neutro
Intenso vicio dos,Sí,Asco,Neutro
Wtf de desde cuando alegría es hombre,Sí,Ira,Neutro
Enuui: viendo memes🎉🎉🎉,No,Alegría,Neutro
Y dónde está Riley,No,Asco,Neutro
"Intensa mente 2⁉️❌️
Drogada mente 2✅️‼️‼️‼️",Sí,Asco,Neutro
Vicio Intenso 2,Sí,Neutro,Neutro
❤❤❤,Sí,Alegría,Neutro
Y ustedes qué están haciendo todos,No,Neutro,Neutro
"Intensamente 2:❌️
Idiotasmente 2: ✅️",Sí,Ira,Neutro
😂😂😂😊😂❤❤❤,Sí,Alegría,Neutro
😁❤️,Sí,Alegría,Neutro
Intensovisio 2,No,Asco,Neutro
Literalmente: YouTube Kids 🗿🍷🎩🧐,No,Sorpresa,Neutro
Yo me voy a acostar,No,Neutro,Neutro
A mí me gustó desagrado más❤❤,Sí,Alegría,Neutro
ke seso disfraz para la próxima temporada te disfraz de sonic,No,Alegría,Neutro
Eeeeeeeeeee😊,Sí,Alegría,Neutro
Intestinalmente 2,Sí,Neutro,Neutro
Q disfrazes mas clandest1nos,No,Neutro,Neutro
Desagradamente2,No,Asco,Neutro
😂❤❤❤❤❤,Sí,Alegría,Neutro
Visiomente 2,No,Neutro,Neutro
Cabeza de pan05h4 🤑 3:11,No,Neutro,Neutro
Uno de Demon slayer,No,Neutro,Neutro
Mira mi mente 2,Sí,Neutro,Neutro
Endrogadamente 2:,No,Neutro,Neutro
2:26 Yo soy Temor,Sí,Miedo,Neutro
😅,No,Sorpresa,Neutro
Vicio Intenso 2,Sí,Neutro,Neutro
Intentasadroga 2,No,Asco,Neutro
Insanamente2,No,Neutro,Neutro
Sin ofender encerio pero mi amigo me envio un video de ustedes disfrasados q de decia vicio intenso 2 😔👊,Sí,Tristeza,Neutro
Trauma en mi mente 2,Sí,Tristeza,Neutro
Cricosamente 2,No,Neutro,Neutro
Demencia en mi mente 2,No,Asco,Neutro
Visio intenso 2.  🤑,Sí,Sorpresa,Neutro
Intensassustancias 2,Sí,Sorpresa,Neutro
"Intensamente:❌
Drogamente:✅",Sí,Sorpresa,Neutro
Vacío intenso 2😂😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
Goat,No,Neutro,Neutro
EXTREMOTEMOR✅,Sí,Sorpresa,Neutro
😂 Jajaja,Sí,Alegría,Neutro
2:34 nuevo trauma,Sí,Miedo,Neutro
0:28 0:28 0:29 0:30,Sí,Neutro,Neutro
2,No,Neutro,Neutro
Jajaja 😂,Sí,Alegría,Neutro
Inside out 2,No,Neutro,Neutro
Inside out 2,No,Neutro,Neutro
Dogralia 😎,No,Neutro,Neutro
❤memo,No,Neutro,Neutro
😮😮😮😮😮2,Sí,Sorpresa,Neutro
😨😨😨😨😨,Sí,Miedo,Neutro
Roberto😅😊😂🎉❤😮,Sí,Alegría,Neutro
Intensovicio 2,Sí,Sorpresa,Neutro
2:18 a ja ja ja a aja aj aja 🗣️‼️‼️😡😡😡‼️‼️,Sí,Ira,Neutro
"Intensamente 2✅️✅️
Drogadamente 2 ❌️❌️😠😠",Sí,Ira,Neutro
Este video deberia llamarse:trauma mente 💀,Sí,Asco,Neutro
Aguante pesp pluma❤❤❤,No,Alegría,Neutro
Jaja😂,Sí,Alegría,Neutro
1:46 1:47 1:47 1:47 1:48,Sí,Neutro,Neutro
Médiamente 2,No,Neutro,Neutro
Ola soy yatzii 😂🎉🎉🎉🎉❤😢,Sí,Alegría,Neutro
"Ansiedad❌
Ansiñedad ✅",Sí,Alegría,Neutro
1:38 puro wueco se mira,Sí,Alegría,Neutro
Me traume,Sí,Asco,Neutro
Pov:compro un muñeco de ansiedad lo que me entregan😔,No,Tristeza,Neutro
𝚃𝚞𝚖𝚘𝚛 𝚢 𝚝𝚒𝚐𝚛𝚎𝚜𝚊,No,Neutro,Neutro
2,No,Neutro,Neutro
"4:25 

Verguenza:🚫

Cachondes 🥵:✅️",Sí,Ira,Neutro
xDDDD,Sí,Alegría,Neutro
Un tumor intenso en mi cabeza dos 2,No,Asco,Neutro
"Nose quien está mal de la mente, el que hizo el vídeo o yo que ví el vídeo",Sí,Sorpresa,Neutro
4:27 Vergüenza? 💀,Sí,Asco,Neutro
"Intensamente❌

Fumadamente✔️🤑🤑🤑🤑",Sí,Alegría,Neutro
Intensa mota,No,Asco,Neutro
Like si viniste por el vídeo de pablots,Sí,Neutro,Neutro
Ñiley nostarga inquietud la pulga wervensa y arnia,No,Neutro,Neutro
memo?🤨,No,Sorpresa,Neutro
hagan un video mhaciendo ela mor,Sí,Ira,Neutro
😮😮😮😮😅😅😅😅😅😅😅😍😍,Sí,Sorpresa,Neutro
traumada mente 2,Sí,Asco,Neutro
Son de temu ajajaja,Sí,Sorpresa,Neutro
Intensamente drogada 2 ❤,Sí,Sorpresa,Neutro
Malardamente 2,No,Neutro,Neutro
A mí me gusta descargado y envidia,Sí,Alegría,Neutro
La llegeda de envidia :gogogogog,No,Sorpresa,Neutro
Drogada intensa 2,No,Neutro,Neutro
🎉❤😅😂,Sí,Alegría,Neutro
Porque solo hay 3 enanos si eran como 80,No,Ira,Neutro
DROGAMENTE 2 SOLO EN CINES,No,Ira,Neutro
Alguien sabe cómo podemos tumbar su cuenta?,No,Ira,Neutro
Las emociones de Alfredo adame:,No,Neutro,Neutro
FAMILY,No,Neutro,Neutro
Dorgadaintenso 2,Sí,Neutro,Neutro
Que?,No,Neutro,Neutro
24 breaking bad,No,Neutro,Neutro
FALTATALENTOALEGRIA✅,Sí,Alegría,Neutro
PRÁCTICAANSIEDAD✅,Sí,Ira,Neutro
Visiointenso 2 o mentedrogada 2,Sí,Ira,Neutro
¿Es raro que este video me dé risa?,Sí,Alegría,Neutro
Hola aren,No,Neutro,Neutro
Los que vienen de udea 2:☠️,No,Neutro,Neutro
Soy tu fan🏔️🏝️🏞️🛤️🌊🥗🍱,No,Neutro,Neutro
Ezquisofrenia intensa,Sí,Sorpresa,Neutro
1:56 Yo soy Furia,Sí,Ira,Neutro
Lo que ve mi primito de 5 años:,No,Neutro,Neutro
Pues al chile yo si me ando dando a memo disfrazado de alegria 🥵🥵🥵🥵🥵🥵🔥🔥,Sí,Alegría,Neutro
MEHNOSTALGIA✅,Sí,Melancolía,Neutro
sal de mi mente 2,Sí,Sorpresa,Neutro
Me gusto desagrado y vergüenza :),Sí,Alegría,Neutro
FURIA2/,No,Asco,Neutro
BOGDAN CATNAP POPPY PLAYTIME 3,No,Neutro,Neutro
Parece que riley le echo al paracetamol,No,Asco,Neutro
Sal De Mi Mente 2,Sí,Neutro,Neutro
Satán grita pidiendo piedad,Sí,Ira,Neutro
anexamente 2,No,Neutro,Neutro
Intensasdrogas 2,No,Asco,Neutro
Intensocriko 2,Sí,Neutro,Neutro
😂😂😂😂,Sí,Alegría,Neutro
Drogadamente 2,No,Neutro,Neutro
Hola,No,Neutro,Neutro
Drogadamente 2,No,Neutro,Neutro
Drogadamente 2,No,Neutro,Neutro
Drogadamente 2,No,Neutro,Neutro
Drogadamente 2,No,Neutro,Neutro
4:27 lo único bueno del vídeo 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Sí,Alegría,Neutro
😂😂😂😂,Sí,Alegría,Neutro
😍🤩🤩🤩🤩🥰🥰🥰🥰🥰😘😘😘😁😘,Sí,Alegría,Neutro
Drogadamente 2,No,Neutro,Neutro
🤣🤣🤣🤣🤣🤣🤣,Sí,Alegría,Neutro
Drogadamente 2,No,Asco,Neutro
Drogadamente 2,No,Neutro,Neutro
❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,Sí,Alegría,Neutro
Drogadamente 2,No,Neutro,Neutro
se  mato   tristesa,Sí,Tristeza,Neutro
4:06 Yo soy Aburrimiento,Sí,Aburrimiento,Neutro
Como que a vergüenza se le vio todo el qlo.... 😔,Sí,Tristeza,Neutro
MEMO APOTNE,No,Neutro,Neutro
?,No,Neutro,Neutro
Ceasco.     Selebe.    Lacola,No,Neutro,Neutro
Piensodroga 2,No,Neutro,Neutro
😂😂😂😂😂😂😅,Sí,Alegría,Neutro
😂😂😂😂😂😂😂 😂,Sí,Alegría,Neutro
Verdesita!,No,Sorpresa,Neutro
Tu.                    VMe.       Gusta.,No,Neutro,Neutro
Que les pasó est,No,Neutro,Neutro
Ja❤❤,Sí,Alegría,Neutro
9:36 bruh,No,Asco,Neutro
😂😂😂😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
GODENVIDIA✅,No,Neutro,Neutro
Xd  xd,Sí,Alegría,Neutro
intensamelamete2,No,Neutro,Neutro
😅😅😅😅,No,Alegría,Neutro
A,No,Neutro,Neutro
", 🎉🎉🎉🎉🎉🎉",Sí,Alegría,Neutro
😂😂😂😂😂😂,Sí,Alegría,Neutro
Saldemimente 2💀💀💀💀,No,Asco,Neutro
MEMOOOOOOOOOOOOOOOOOOOO,Sí,Asco,Neutro
Vengo por memes random del cometario mentedrogada 😂😂😂😂😂😂,No,Alegría,Neutro
Al final estoy muy triste JAJAJAJAJAJA,Sí,Tristeza,Neutro
00:09 perdonarme Diosito por la cochinada que estoy a punto de hacer,Sí,Ira,Neutro
ᴛɪᴇɴᴇs ᴜɴ ғᴀʙʀɪᴄᴀ ᴅᴇ ᴇɴᴀɴᴏs xᴅ😂😂,Sí,Alegría,Neutro
"Intensamente 2 ❌❌❌❌❌❌❌     
Sal de mi mente 2  ✅✅✅✅✅✅✅",Sí,Sorpresa,Neutro
Sufrimiento 2,Sí,Asco,Neutro
😂😂😂😂😂🎉🎉😮😮😮😮,Sí,Alegría,Neutro
😂😂😂😂😂😂,Sí,Alegría,Neutro
"Sobreexplotacion de enanos 

Cine🚬🚬",No,Asco,Neutro
Canserigicamente 2,No,Neutro,Neutro
Mariguaneramente 2,No,Neutro,Neutro
FACILFURIA✅,No,Neutro,Neutro
HELENA ❤❤❤😔👍🏻,Sí,Asco,Neutro
FumadaIntensa 2,Sí,Asco,Neutro
💀,No,Asco,Neutro
Drogamente 2,No,Neutro,Neutro
XD,Sí,Alegría,Neutro
Jajaja,Sí,Alegría,Neutro
Quiero ver cómo hacer Biblia,No,Neutro,Neutro
😰😰😰😰😰😨😨,Sí,Miedo,Neutro
Desagrado 5:08 1o de10,No,Asco,Neutro
Tell me like eat let me in,No,Neutro,Neutro
😂,Sí,Alegría,Neutro
Tritesa  traumas,No,Neutro,Neutro
César $50 de la cruz,No,Neutro,Neutro
XD😂,Sí,Alegría,Neutro
𝙉𝙤𝙢𝙗𝙧𝙚 𝙢𝙚𝙟𝙤𝙧 𝙚𝙨 𝙚𝙡 𝙙𝙚 𝙚𝙣𝙫𝙞𝙙𝙞𝙖 🤓☝,Sí,Sorpresa,Neutro
Por qué se disfraza de escasamente Y por qué se taparon la nariz Furia y envidia😂😂😂😂😂 las emociones le temes te tengo esos disfraces de d temu😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
BUENOENNUI✅,No,Neutro,Neutro
La mejor parte es 2:05,Sí,Asco,Neutro
Intensamente drogada 2,No,Asco,Neutro
A quien  adotan mas,No,Neutro,Neutro
Sal de mi mente 2,Sí,Sorpresa,Neutro
"Intensamente 2 ❌🚫😑👎
Vicio Intenso 2 ✅✅👌🤑🍷🧐",No,Ira,Neutro
😮🎉😊❤🎉😂😢😅,Sí,"Sorpresa, Alegría",Neutro
Bajo wekkkw,No,Neutro,Neutro
"Nose, yo vengo por ricardo alcaraz 🗣📢‼️‼️",No,Asco,Neutro
Si xddd😊,Sí,Alegría,Neutro
Listoooooo,Sí,Alegría,Neutro
2:21 ig de desagrado,No,Asco,Neutro
Krickomente 2,No,Neutro,Neutro
DIFICILDESAGRADO✅,No,Asco,Neutro
Hñ😢,No,Tristeza,Neutro
Boracho furia,Sí,Ira,Neutro
Intensadiarrea 2,No,Asco,Neutro
Aquí los que se dieron cuenta que falto riley👇 👇,Sí,Ira,Neutro
Mentedrogada :2,No,Neutro,Neutro
insanamente2,No,Neutro,Neutro
"Intensamente ❌❌
Esquisofrenicamente ⬅️",Sí,Sorpresa,Neutro
Saquenme los ojos,Sí,Asco,Neutro
Le falto a rile,No,Asco,Neutro
EXQUISOFRENIKA MENTER 2,Sí,Sorpresa,Neutro
Apareció la nv de larin,No,Sorpresa,Neutro
xD 7:05,Sí,Sorpresa,Neutro
😢😊😅😮,Sí,Sorpresa,Neutro
Ahora mi emocion es verguenza,Sí,Vergüenza,Neutro
la unica chida es desagrado como siempre,Sí,Asco,Neutro
Me drogue intensamente 2,Sí,Ira,Neutro
Intestino 2👻,No,Neutro,Neutro
❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Sí,Alegría,Neutro
Que le pasa a envidia,No,Asco,Neutro
Jijijijiji,Sí,Alegría,Neutro
XD,Sí,Alegría,Neutro
B juegos para juegos,No,Neutro,Neutro
💛💚❤️💜🤍🧡🧼❤🗡️,No,Neutro,Neutro
😂😂😂😂💔💔💔💔💔,Sí,Alegría,Neutro
Bisiointenso 2,No,Neutro,Neutro
INTENSAMENTE DROGA2,No,Neutro,Neutro
Mesucribi,No,Neutro,Neutro
Bruuuu,Sí,Sorpresa,Neutro
Mira te llamo atu tio,No,Neutro,Neutro
4:27 - 4:38☠️☠️☠️💀💀,Sí,Asco,Neutro
Jajaja 3:54,Sí,Alegría,Neutro
Drogamelamente 2,No,Neutro,Neutro
👁👄👁,Sí,Asco,Neutro
💀,Sí,Asco,Neutro
Ig de disgusto,Sí,Asco,Neutro
🧡💜🤍❤️💚💛🧼💙,No,Alegría,Neutro
𝙼𝚒 𝚒𝚗𝚏𝚊𝚗𝚜𝚒𝚊,No,Neutro,Neutro
🧡💜🤍❤️💚💛🧼💙,No,Neutro,Neutro
Raid,No,Neutro,Neutro
💛❤️💚💙💜🧡🩵💜🩷,No,Sorpresa,Neutro
Aditcionintensa 🤑🤑,Sí,Sorpresa,Neutro
R15,No,Neutro,Neutro
Perros más qué,No,Neutro,Neutro
Soy riley,No,Neutro,Neutro
👇,No,Neutro,Neutro
Hi,No,Neutro,Neutro
Que miserables deben de ser sus papás 😿,Sí,Asco,Neutro
FURIA❌,Sí,Ira,Neutro
Porque son todos enanos😂😅 xd 1:58,Sí,Alegría,Neutro
3:03 ㄥ卂丂 ᗪ乇爪卂丂 乇爪ㄖ匚|ㄖ几乇丂 : ¿Ҩㄩ乇 ㄒ|乇几乇?,No,Neutro,Neutro
3:03 ㄥ卂丂 ᗪ乇爪卂丂 乇爪ㄖ匚|ㄖ几乇丂 : ¿Ҩㄩ乇 ㄒ|乇几乇?,No,Neutro,Neutro
Ansiedad parece esquizofrenia según mi hermana y según yo parece una zanahoria deforme,Sí,Asco,Neutro
Los. Difrases. Son.  Feos.   Desaclado. Es. Lindo 🤢🤢😳😯😪,Sí,Asco,Neutro
Como que me da algo xd,Sí,Alegría,Neutro
Me gustan todos los personajesentonces tampoco,Sí,Neutro,Neutro
Xd 4:26,Sí,Sorpresa,Neutro
"Intensamente ❌

Marihuanamente✅",No,Asco,Neutro
🟥🟧🟨🟩🟦🟪,No,Neutro,Neutro
El tiptok y akaleri,No,Neutro,Neutro
Intensamente2❌ esquizofrenicamete2✅,No,Neutro,Neutro
Quién se ha pasado por ansiedad?,Sí,Tristeza,Neutro
🥹🙂🤣😭🫥,Sí,Sorpresa,Neutro
😮😮😮😮😮😮😮😮😮  😂😂😂😂😂😂😂😂😂😂,Sí,Sorpresa,Neutro
🎉🎉🎉🎉🎉🎉,Sí,Alegría,Neutro
😡😭,Sí,Ira,Neutro
🤍🩵🩷🩶🖤,No,Neutro,Neutro
Drogamente 2,No,Asco,Neutro
Me,No,Neutro,Neutro
Lo unico que quiero saber es memo de donde saca tantos enanos,No,Ira,Neutro
🙂😡❤️💛🩵💚💦,Sí,Alegría,Neutro
II II ye,No,Neutro,Neutro
Alegría 😂 😥  😡,Sí,Alegría,Neutro
Para que te de leche casera,No,Neutro,Neutro
Bebidas que ey77,No,Neutro,Neutro
Que pedo angel,No,Sorpresa,Neutro
Top cinco pervertidos 3:47,No,Neutro,Neutro
😂😂😂😂q10,Sí,Alegría,Neutro
Retrasadamente 2,No,Neutro,Neutro
😂😢😮😂🎉🎉😢😢😮😅😅,Sí,Alegría,Neutro
K,No,Neutro,Neutro
Polvointenso 2,Sí,Asco,Neutro
Michael jackson,No,Neutro,Neutro
Cero,No,Asco,Neutro
Coco,No,Neutro,Neutro
🦍🐺🐺🦧,No,Neutro,Neutro
VOTEN AQUÍ PARA QUE HAGA UNO DE SALLY FACE🗣️🗣️🗣️🗣️‼️‼️⬇️⬇️⬇️⬇️⬇️,Sí,Alegría,Neutro
Soy tu fan,No,Alegría,Neutro
Cero,No,Neutro,Neutro
Mema ponte potu,No,Neutro,Neutro
Alguien de 2025?,No,Sorpresa,Neutro
memo yo tengo una muñeca de papel de envidia y es mas bonita😍😊,No,Alegría,Neutro
Intesadroga,No,Neutro,Neutro
8:08 8:09 8:10 8:10 ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Sí,Asco,Neutro
Wtf,No,Ira,Neutro
Inmensospenes 2,No,Neutro,Neutro
Me encantó el vídeo,Sí,Alegría,Neutro
🟩🟢,No,Neutro,Neutro
Xddddddddddddddddddddddddddddddddd,No,Neutro,Neutro
00:57 un ejército de enanos 😱,Sí,Asco,Neutro
Es bromaco estas en fermo?,Sí,Sorpresa,Neutro
😮🎉❤❤😮😮😮😮🎉🎉,Sí,Alegría,Neutro
"😅😮😂❤,,😢😮😂🎉😅😅",Sí,Sorpresa,Neutro
autistamente 2,No,Neutro,Neutro
Desagrado: Y tampoco me gustan la música de banda y Peso Pluma y que Grinch,No,Asco,Neutro
Angelkkkkk(kkkkkkkkkk,No,Neutro,Neutro
"Estás en un bote y solo tienes espacio para uno mas, a quién salvas? Memo o Kuno?",No,Sorpresa,Neutro
8:58 entendido por alegria 9:21 que?,Sí,Sorpresa,Neutro
😤🤢🥹🥹😐☺️,Sí,Asco,Neutro
Información hdfh,No,Neutro,Neutro
Regrese Xd,Sí,Alegría,Neutro
Desagrado es la unica que esta igual a la película :v,Sí,Ira,Neutro
Y dónde está nvidia aburrimiento,No,Neutro,Neutro
Que nadie sepa que veo esto 😭,Sí,Tristeza,Neutro
A,No,Neutro,Neutro
Spsela😅😢,Sí,Asco,Neutro
Tus padres llama Disen que es tam de seccionado de ti,No,Asco,Neutro
Drogaintensa 2,No,Neutro,Neutro
",, me das Grinch",No,Ira,Neutro
Soy trollo,No,Asco,Neutro
Esto esla mente del drogadicto de la esquina dos,No,Asco,Neutro
La cagada va en la casa,No,Ira,Neutro
0:10,Sí,Neutro,Neutro
Así es,Sí,Neutro,Neutro
❤😂🎉😢😮😅😊cein,No,Neutro,Neutro
Bu Saba ata word,No,Neutro,Neutro
😂🐶🍉🌏🎆🔉🏴🇦🇫;-),No,Alegría,Neutro
😂 Yu,Sí,Alegría,Neutro
La mejor parte es 2:04,Sí,Neutro,Neutro
M.,No,Neutro,Neutro
Literally worser than Andreas Eskander. Do you agree?,No,Ira,Neutro
54321,No,Neutro,Neutro
8:22 me doy cuenta que ansiedad tienes dos bocas,Sí,Ira,Neutro
Loca mente 2,Sí,Alegría,Neutro
🤑🤑🤑🤑🤑,No,Alegría,Neutro
NORMALTRISTEZA✅,Sí,Tristeza,Neutro
TCA,No,Neutro,Neutro
😊 un i'm i'm,Sí,Sorpresa,Neutro
Cómo caíste tan bajo😢,Sí,Asco,Neutro
wtffffffffffffffff,No,Asco,Neutro
wtf,No,Ira,Neutro
Virgennnmmmmm,No,Neutro,Neutro
Porque esta wea tiene más de 4 millones de views?,Sí,Sorpresa,Neutro
T voy a enviarte una carta,No,Neutro,Neutro
Y la otra es 4:25,Sí,Neutro,Neutro
La mejor parte es 8:24,Sí,Alegría,Neutro
La mejor parte es 8:24,Sí,Sorpresa,Neutro
"Las emociones:
Ezquizofrenia 
Depresion 
Autismo 
Psicopata 
Sindrome de down",No,Sorpresa,Neutro
NORMALVERGUENZA✅,Sí,Sorpresa,Neutro
Cómo esto tiene más vistas que la tragedia de Venezuela?,No,Ira,Neutro
